OTUID,kingdom,phylum,class,order,family,genus,species,confidence
OTU_1481,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita,,1
OTU_1437,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,,,1
OTU_1436,Bacteria,Proteobacteria,,,,,,0.84
OTU_3065,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,,0.98
OTU_1435,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,,1
OTU_3300,Bacteria,,,,,,,0.89
OTU_1434,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,,,,1
OTU_714,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,,0.8
OTU_2833,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Chryseobacterium,,0.97
OTU_715,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,,,0.82
OTU_716,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,0.98
OTU_2793,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1
OTU_1154,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,1
OTU_1155,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,5-7N15,,1
OTU_1156,Bacteria,Proteobacteria,Betaproteobacteria,,,,,0.84
OTU_717,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],,,0.96
OTU_1150,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,,0.83
OTU_1151,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Balneimonas,,1
OTU_1152,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,,1
OTU_1153,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,1
OTU_710,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,[Chromatiaceae],,,0.9
OTU_1158,Bacteria,,,,,,,0.91
OTU_1159,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,0.97
OTU_711,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,,,0.93
OTU_712,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,,1
OTU_713,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,,0.86
OTU_3888,Bacteria,Acidobacteria,Acidobacteria-6,BPC015,,,,1
OTU_3889,Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,,,,0.84
OTU_3884,Bacteria,,,,,,,0.99
OTU_3885,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,,,0.93
OTU_3886,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buchnera,,0.98
OTU_3887,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,1
OTU_3880,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,,,0.99
OTU_3881,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,,0.91
OTU_3882,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,0.88
OTU_3883,Bacteria,Armatimonadetes,SHA-37,,,,,0.99
OTU_3329,Bacteria,Gemmatimonadetes,Gemmatimonadetes,KD8-87,,,,1
OTU_3693,Bacteria,,,,,,,0.98
OTU_1039,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,,1
OTU_1038,Bacteria,OD1,Mb-NB09,,,,,0.83
OTU_1037,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,0.84
OTU_1036,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Phytophthora,ramorum,0.93
OTU_1035,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,,1
OTU_1034,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,,0.98
OTU_1033,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,0.84
OTU_1032,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,,,0.97
OTU_1031,Bacteria,,,,,,,0.99
OTU_1030,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Abies,homolepis,1
OTU_2723,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,0.8
OTU_2627,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Asteroleplasma,,1
OTU_3611,Bacteria,Elusimicrobia,Elusimicrobia,FAC88,,,,1
OTU_3570,Bacteria,,,,,,,1
OTU_1323,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,0.85
OTU_1322,Bacteria,Firmicutes,Clostridia,Clostridiales,[Mogibacteriaceae],,,1
OTU_1321,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,,,1
OTU_1320,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],CF231,,1
OTU_1327,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,,0.97
OTU_1326,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,,1
OTU_1325,Bacteria,Proteobacteria,,,,,,0.92
OTU_1324,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,,,1
OTU_3956,Bacteria,TM7,TM7-1,,,,,1
OTU_3629,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,1
OTU_1329,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.83
OTU_1328,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,0.95
OTU_3952,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,,1
OTU_3491,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Candidatus Glomeribacter,,0.96
OTU_3950,Bacteria,,,,,,,0.94
OTU_3951,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],Candidatus Xiphinematobacter,,0.97
OTU_3490,Bacteria,OD1,ZB2,,,,,0.8
OTU_3497,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,0.99
OTU_3496,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,,0.99
OTU_3495,Bacteria,OP3,koll11,,,,,0.91
OTU_3494,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,,,0.87
OTU_3868,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,1
OTU_3552,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,0.99
OTU_3765,Bacteria,Proteobacteria,,,,,,0.8
OTU_3553,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,,1
OTU_3309,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,,0.99
OTU_3550,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,0.97
OTU_2763,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,0.88
OTU_1929,Bacteria,,,,,,,1
OTU_1928,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Anaerococcus,,1
OTU_2210,Bacteria,OP11,OP11-2,,,,,0.92
OTU_2211,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,,,0.99
OTU_2216,Bacteria,OD1,ZB2,,,,,1
OTU_2217,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,0.89
OTU_2214,Bacteria,Chloroflexi,TK10,AKYG885,,,,0.99
OTU_2215,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,,1
OTU_1921,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,,0.83
OTU_1920,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,,,0.94
OTU_1923,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,,1
OTU_1922,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,0.93
OTU_1925,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,1
OTU_1924,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Anaerococcus,,1
OTU_1927,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,,,1
OTU_1926,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,,,0.92
OTU_3554,Bacteria,Chloroflexi,TK17,,,,,1
OTU_3308,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,,0.87
